Serial#,Property_type,Price,Location,City,bathroom,purpose,bedroom,Area in Marla
0,Flat,10000000,G-10,Islamabad,2,For Sale,2,4
1,Flat,6900000,E-11,Islamabad,3,For Sale,3,5.6
2,House,16500000,G-15,Islamabad,6,For Sale,5,8
3,House,43500000,Bani Gala,Islamabad,4,For Sale,4,40
4,House,7000000,DHA Defence,Islamabad,3,For Sale,3,8
7,Flat,7800000,E-11,Islamabad,2,For Sale,2,6.2
9,Penthouse,40000000,F-11,Islamabad,5,For Sale,5,20
10,Flat,35000000,Diplomatic Enclave,Islamabad,3,For Sale,3,7.1
13,Flat,13500000,DHA Defence,Islamabad,5,For Sale,3,10
14,Flat,3600000,E-11,Islamabad,1,For Sale,1,3.1
15,Flat,5000000,E-11,Islamabad,2,For Sale,2,4
16,House,19000000,DHA Defence,Islamabad,3,For Sale,3,10
18,House,26900000,B-17,Islamabad,6,For Sale,6,20
21,House,4500000,Bhara kahu,Islamabad,3,For Sale,3,5
24,House,4500000,Garden Town,Islamabad,4,For Sale,4,4.7
25,House,6800000,Koral Town,Islamabad,4,For Sale,4,4
26,House,20000000,Soan Garden,Islamabad,5,For Sale,6,12
27,Flat,19400000,Blue Area,Islamabad,1,For Sale,1,4.3
29,Flat,8000000,G-11,Islamabad,2,For Sale,2,6.7
30,Flat,6300000,E-11,Islamabad,3,For Sale,3,5.3
32,House,4500000,Ghauri Town,Islamabad,3,For Sale,2,5
33,House,12500000,I-16,Islamabad,5,For Sale,6,8
35,House,110000,DHA Defence,Islamabad,5,For Rent,5,20
36,House,600000,F-7,Islamabad,6,For Rent,6,40
37,Lower Portion,33000,G-15,Islamabad,2,For Rent,2,8
38,House,45000,Pakistan Town,Islamabad,5,For Rent,3,24
40,House,175000,F-7,Islamabad,4,For Rent,4,13.3
41,Lower Portion,17000,Islamabad Expressway,Islamabad,2,For Rent,2,5
44,Lower Portion,200000,F-6,Islamabad,3,For Rent,3,16
46,Lower Portion,60000,G-8,Islamabad,2,For Rent,2,9.3
48,House,40000000,Multan Road,Lahore,5,For Sale,5,20
51,House,21000000,Allama Iqbal Town,Lahore,5,For Sale,6,11
53,House,16500000,Military Accounts Housing Society,Lahore,7,For Sale,6,8
57,House,13500000,Eden,Lahore,4,For Sale,4,7.5
61,House,23500000,Askari,Lahore,4,For Sale,4,10
62,House,22500000,Bedian Road,Lahore,4,For Sale,4,20
64,House,39500000,Gulberg,Lahore,6,For Sale,6,10
65,House,27500000,Askari,Lahore,5,For Sale,4,12
66,House,40000000,Chaman Park,Lahore,3,For Sale,6,11
68,House,3200000,Chungi Amar Sadhu,Lahore,2,For Sale,3,3
69,House,21200000,Askari,Lahore,4,For Sale,3,10
70,House,23000000,Askari,Lahore,5,For Sale,4,10
71,House,21500000,Askari,Lahore,5,For Sale,4,10
72,House,21500000,Askari,Lahore,5,For Sale,4,10
73,House,40000000,Askari,Lahore,6,For Sale,5,20
74,House,26000000,Askari,Lahore,5,For Sale,4,10
75,House,21000000,Askari,Lahore,4,For Sale,4,10
76,House,23000000,Askari,Lahore,5,For Sale,4,10
77,House,23000000,Askari,Lahore,6,For Sale,5,10
80,House,5500000,Karim Park,Lahore,3,For Sale,3,2.5
82,House,12000000,Cantt,Lahore,6,For Sale,6,8
87,House,12000000,Al-Raheem Garden,Lahore,5,For Sale,5,6
88,House,40000000,EME Society,Lahore,7,For Sale,6,20
90,House,17000000,Mateen Avenue,Lahore,6,For Sale,5,9.7
92,House,17000000,Paragon City,Lahore,5,For Sale,5,10
93,House,25000000,IEP Engineers Town,Lahore,5,For Sale,4,18
94,House,8500000,Muslim Town,Faisalabad,5,For Sale,4,5
95,House,25000000,Millat Town,Faisalabad,6,For Sale,5,24
96,House,6000000,Raza Abad,Faisalabad,2,For Sale,4,2.5
98,House,13500000,Humak,Rawalpindi,4,For Sale,5,7
